entropy,ngram,alignments
0.55,nt$,"{'n$': 704, '$': 43, 'nt$': 23, 't$': 3, 'r$': 1}"
0.56,rage,"{'raz': 20, 'az': 3}"
0.56,tant,"{'tan': 27, 'tant': 2, 'an': 1}"
0.56,éb,"{'eb': 27, 'b': 2, 'Eb': 1}"
0.56,rer,"{'re': 75, 'r': 4, 'ire': 1, 'e': 1, 'rer': 1}"
0.57,$fu,"{'$fi': 13, '$fw': 2}"
0.57,nue,"{'ni': 13, 'nie': 2}"
0.57,olé,"{'ole': 13, 'ol': 2}"
0.57,ches,"{'s': 13, 'ses': 2}"
0.57,ncti,"{'nksi': 13, 'nkti': 2}"
0.57,ctu,"{'kti': 18, 'kt': 1, 'ktou': 1}"
0.57,mba,"{'nba': 18, 'nbo': 1, 'nbe': 1}"
0.57,har,"{'ar': 34, 'har': 3, 'a': 1}"
0.57,ème,"{'em': 32, 'm': 5}"
0.57,Au,"{'O': 44, 'A': 3, 'Ak': 2}"
0.57,orc,"{'ors': 19, 'ork': 3}"
0.57,fica,"{'fika': 19, 'ika': 3}"
0.57,lation,"{'lasion': 19, 'asion': 3}"
0.57,ible,"{'ib': 26, 'b': 2, 'ble': 1}"
0.58,e$,"{'$': 2425, 'n$': 145, 'e$': 93, 'i$': 5, 'o$': 4, 'ez$': 3, 'k$': 2, 'a$': 1}"
0.58,oire,"{'war': 33, 'ar': 3, 'r': 1}"
0.58,me$,"{'m$': 154, '$': 25}"
0.59,hon,"{'on': 25, 'hon': 2, 'an': 1}"
0.59,ly,"{'li': 17, 'i': 1, '': 1}"
0.59,Qua,"{'Ka': 17, 'Qua': 1, 'Qu': 1}"
0.59,Em,"{'An': 24, 'Em': 4}"
0.59,mie,"{'mi': 18, 'mie': 3}"
0.59,ange,"{'anz': 18, 'anze': 3}"
0.59,ieux,"{'ie': 18, 'ye': 3}"
0.59,cout,"{'kout': 12, 'out': 2}"
0.59,oiss,"{'was': 12, 'ois': 2}"
0.59,ote$,"{'ot$': 12, 'oto$': 2}"
0.59,sance,"{'ans': 12, 'zans': 2}"
0.59,tér,"{'ter': 39, 'er': 4, 't': 1}"
0.61,Rec,"{'Rek': 23, 'Res': 4}"
0.61,isa,"{'iza': 52, 'za': 4, 'z': 1, 'iz': 1}"
0.61,Sy,"{'si': 17, 'Si': 3}"
0.61,ges,"{'z': 17, 'zes': 3}"
0.61,Ju,"{'Zi': 28, 'z': 1, 'zw': 1, 'Zw': 1}"
0.61,$é,"{'$e': 112, '$E': 20}"
